Parcela;Especie;NP;Fuste;CAP;obs
15;Miconia trianea;2223;3;17,0;5,41
15;Dimorphandra mollis;2226;1;21,7;6,91
15;Gomidesia sellowiana;2227;1;10,5;3,34
15;Indetermida;2228;1;10,9;
15;Indetermida;2228;2;10;
15;Indetermida;2228;3;12;
15;Eremanthus incanus;2230;1;20,8;6,62
15;Eremanthus incanus;2234;1;17,8;5,67
15;Indetermida;2235;1;13;
15;Swartzia apetala;2236;1;19,0;6,05
15;Swartzia apetala;2236;2;17,0;5,41
15;Swartzia apetala;2236;3;10,8;3,44
15;Erythroxylum pelleterianum;2238;1;13,3;4,23
15;Eremanthus incanus;2239;1;20,0;6,37
15;Eremanthus incanus;2239;2;14,0;4,46
15;Indetermida;2243;1;13,2;
15;tachigali rugosa;2259;1;18,0;5,73
15;Simarouba versicolor;2261;1;12,5;3,98
15;Fabaceae sp.1;2264;1;24,0;7,64
15;Lauraceae sp. 2;2281;1;26,2;8,34
15;Lauraceae sp. 2;2281;2;27,0;8,59
15;Lauraceae sp. 2;2281;3;21,3;6,78
15;Indeterminda;2286;1;11;
15;Xylopia sericea;2288;1;12,0;3,82
15;Xylopia sericea;2289;1;15,9;5,06
15;Xylopia sericea;2290;1;16,5;5,25
15;Xylopia sericea;2291;1;13,0;4,14
15;Ocotea acyphila;2292;1;21,1;6,72
15;Xylopia sericea;2293;1;19,8;6,30
15;Xylopia sericea;2294;1;14,0;4,46
15;Swartzia apetala;2295;1;14,0;4,46
15;Simarouba versicolor;2296;1;16,0;5,09
15;Xylopia sericea;2297;1;12,0;3,82
15;Tibouchina candoleana;2298;1;16,0;5,09
15;Swartzia apetala;2308;1;18,0;5,73
15;Protium heptaphyllum;2309;1;12,3;3,92
15;tachigali rugosa;2311;1;34,0;10,82
15;tachigali rugosa;2311;2;42,5;13,53
15;tachigali rugosa;2311;3;30,4;9,68
16;Indeterminada ;206;1;13,1;4,17
16;Indeterminada ;207;1;17,4;5,54
16;Indeterminada ;208;1;9,7;3,09
16;Indeterminada ;209;1;10,3;3,28
16;Indeterminada ;210;1;28,9;9,20
16;Indeterminada ;211;1;18,3;5,83
16;Indeterminada ;211;2;16,0;5,09
16;Indeterminada ;211;3;11,2;3,57
16;Indeterminada ;212;1;12,7;4,04
16;Indeterminada ;213;1;33,8;10,76
16;Indeterminada ;213;2;18,4;5,86
16;Indeterminada ;214;1;17,0;5,41
16;Indeterminada ;215;1;35,0;11,14
16;Indeterminada ;216;1;17,3;5,51
16;Indeterminada ;217;1;23,4;7,45
16;Indeterminada ;218;1;19,0;6,05
16;Indeterminada ;219;1;39,5;12,57
16;Indeterminada ;220;1;22,7;7,23
16;Indeterminada ;220;2;10,5;3,34
16;Indeterminada ;220;3;10,0;3,18
16;Indeterminada ;221;1;13,3;4,23
16;Indeterminada ;222;1;13,0;4,14
16;Gordonia fruticosa;2312;1;35,8;11,40
16;Anacardiaceae1;2313;1;12,6;4,01
16;Indeterminada ;2314;1;;
16;Indeterminada ;2315;1;10,0;3,18
16;M. amazonica;2316;1;13,6;4,33
16;Anacardiaceae1;2325;1;17,0;5,41
16;Anacardiaceae1;2328;1;16,5;5,25
16;Anacardiaceae1;2328;2;21,3;6,78
16;Anacardiaceae1;2328;3;10,2;3,25
16;Eremanthus incanus;2330;1;16,0;5,09
16;Swartzia apetala;2331;1;20,3;6,46
16;Eremanthus incanus;2332;1;13,3;4,23
