"area","transect","tree","common_name","scientific_name","family_name","WSD_09","DBH_09","BA_09","AGB_09","area_sampled_09","BA_AS_09","AGB_AS_09","type_09","canopy_09","light_09","dead_09","class_09","X_09","Y_09","Hcom_09","Htot_09","RN_09","RS_09","RE_09","RW_09","WSD_11","DBH_11","BA_11","AGB_11","area_sampled_11","BA_AS_11","AGB_AS_11","type_11","canopy_11","light_11","dead_11","class_11","X_11","Y_11","Hcom_11","Htot_11","RN_11","RS_11","RE_11","RW_11","VOL","total.area","transect.area"
"DUC_A01","T04","1614","Piquiarana","Caryocar glabrum","Caryocaraceae",0.68,115.5,1.047740785,27.25608323,1.155,0.907134879,23.59834046,"O","E",1,"A",NA,-0.8,159.73,36.64,59.03,16.7,13.6,9.64,15.42,0.68,120,1.130973355,"20.39006765",1.2,0.942477796,"16.99172304","O","E",1,"A",NA,-0.8,159.73,27.92,40.91,10.5,12,9,9.4,17.7449262016028,50,1000
"DUC_A01","T04","1615","Murta","Strychnos subcordata","Loganiaceae",0.54,6.3,0.003117245,0.011149196,0.063,0.049480084,0.17697136,"O","S",3,"A",NA,-0.68,156.82,5.45,10.22,1.53,0.64,1.36,1.1,0.54,6.5,0.003318307,"0.014121207",0.065,0.051050881,"0.217249344","O","S",3,"A",NA,-0.68,156.82,8.43,12.16,1.2,1,0.8,1,0.0301676296598443,50,1000
"DUC_A01","T04","1616","Breu","Protium hepytaphillum ","Burseraceae",0.63,16.3,0.020867244,0.168267654,0.163,0.128019901,1.032316898,"O","S",2,"A",NA,-1.24,153.25,12.77,19.75,3.48,3.27,3.3,2.24,0.63,16.5,0.021382465,"0.21939095",0.165,0.129590697,"1.329642122","O","S",2,"A",NA,-1.24,153.25,20.71,25.13,2,3.2,2.8,2.3,0.231420913438229,50,1000
"DUC_A01","T04","1617","Ucuuba","Virola melinoni","Myristicaceae",0.48,10,0.007853982,0.03554856,0.1,0.078539816,0.3554856,"O","S",3,"A",NA,-0.19,143.23,11.28,14.55,3.13,0.73,2.27,2.3,0.48,10,0.007853982,"0.035084352",0.1,0.078539816,"0.35084352","O","S",2,"A",NA,-0.19,143.23,9.03,14.36,2.3,1.8,1.9,1.4,0.0773980439475332,50,1000
"DUC_A01","T04","1618","Breu","Protium hepytaphillum ","Burseraceae",0.63,24.5,0.047143525,0.542799712,0.245,0.19242255,2.21550903,"O","C",2,"A",NA,-0.64,142.08,20.65,28.2,4.25,2.96,5.05,2.71,0.63,25,0.049087385,"0.513673256",0.25,0.196349541,"2.054693025","O","S",2,"A",NA,-0.64,142.08,21.01,25.63,2,3,4.6,2.7,0.574234458948782,50,1000
"DUC_A01","T04","1619","Inga Vermelho","Inga alba","Fabaceae",0.59,52,0.212371663,3.053263782,0.52,0.408407045,5.87166112,"O","C",1,"A",NA,-3.41,139.03,27.87,37.6,5.07,11.77,8.66,10.73,0.59,53.6,0.225641751,"3.17071142",0.536,0.420973416,"5.91550638","O","E",1,"A",NA,-3.41,139.03,27.21,36.75,2.6,8.5,2.5,8,3.04460884556639,50,1000
"DUC_A01","T04","1621","Inga","Inga marginata","Fabaceae",0.57,17.2,0.023235219,0.096646899,0.172,0.135088484,0.561900574,"O","S",2,"A",NA,-0.69,121.03,8.25,11.26,2.6,0.54,2.44,2.24,0.57,17.8,0.024884555,"0.106173132",0.178,0.139800873,"0.596478267","O","S",3,"A",NA,-0.69,121.03,8.4,11.55,2.4,1,2.4,2,0.273173834070195,50,1000
"DUC_A01","T04","1622","Muiratinga","Maquira sclerophylla","Moraceae",0.53,6.6,0.003421194,0.00944795,0.066,0.051836279,0.143150753,"O","S",3,"A",NA,-0.62,120.29,4.72,8.04,1.09,1.48,2.15,1.72,0.53,6.7,0.003525652,"0.010172379",0.067,0.052621677,"0.151826556","O","S",3,"A",NA,-0.62,120.29,4.9,8.4,1.3,1.9,2.2,1.4,0.0322349798210368,50,1000
"DUC_A01","T04","1623","Tintero","Miconia surinamensis","NI",0.61,18.5,0.026880252,0.167473959,0.185,0.14529866,0.905264644,"O","C",2,"A",NA,-1.35,118.77,12.45,15.76,2.1,3.5,3.16,1.95,0.61,18.9,0.028055208,"0.261969734",0.189,0.148440253,"1.386083248","O","S",3,"A",NA,-1.35,118.77,19.21,23.62,2.5,1.7,2.1,1.2,0.311456025745687,50,1000
"DUC_A01","T04","1624","NI","NI","NI",0.64,37.1,0.108102989,0.920522747,0.371,0.291382719,2.481193389,"O","C",2,"A",NA,-3.62,114.72,14.32,20.53,3.38,2.63,2.7,2.49,0.64,37.6,0.111036451,"0.970371386",0.376,0.295309709,"2.580774963","O","S",2,"A",NA,-3.62,114.72,17.44,21.07,4.2,3.5,3.6,3.7,1.40203540991288,50,1000
"DUC_A01","T04","1625","Grao De Galo","NI","NI",0.62,7.1,0.003959192,0.016640174,0.071,0.05576327,0.234368643,"O","S",3,"A",NA,-0.44,113.96,9.03,10.46,0.47,0.73,0,1.02,0.62,7.2,0.004071504,"0.018813617",0.072,0.056548668,"0.26130024","O","S",3,"A",NA,-0.44,113.96,7.84,11.5,0.4,0.7,0.4,0.8,0.0377305418888572,50,1000
"DUC_A01","T04","1626","Muirapiranga","Brosimum rubescens","Moraceae",0.83,48.3,0.183224752,2.652185119,0.483,0.379347313,5.491066499,"O","C",2,"A",NA,-3.34,111.4,20.89,26.91,3.11,3.47,5.2,3.82,0.83,48.6,0.185507905,"2.804976705",0.486,0.381703507,"5.771557006","O","S",1,"A",NA,-3.34,111.4,23.16,28.11,3.9,4.4,3.4,3.7,2.45762004738522,50,1000
